state_abbr,state_name,offense,total_crime,crime_rate_per_100k,total_population,poverty_universe,below_poverty,poverty_rate_pct,offense_label
AL,Alabama,V,19869,388.94243832006,5108468.0,4960839.0,773166.0,15.5853878749139,Violent Crime
CA,California,V,201216,516.3993413300942,38965193.0,38249686.0,4588687.0,11.996665802694432,Violent Crime
AR,Arkansas,V,18870,615.1124022567813,3067732.0,2980358.0,466624.0,15.656642591259171,Violent Crime
AZ,Arizona,V,31644,425.8179946992091,7431344.0,7274129.0,905418.0,12.447098477357219,Violent Crime
CT,Connecticut,V,5554,153.5451965842967,3617176.0,3521952.0,362024.0,10.279072514332961,Violent Crime
DC,District of Columbia,V,7848,1155.865043035648,678972.0,649438.0,91068.0,14.022585681774089,Violent Crime
DE,Delaware,V,4087,396.06934847706634,1031890.0,1007022.0,106027.0,10.528766998139067,Violent Crime
CO,Colorado,V,28643,487.3239292841818,5877610.0,5757114.0,536507.0,9.319026859638353,Violent Crime
GA,Georgia,V,36466,330.6306053905682,11029227.0,10765238.0,1461317.0,13.574404950452559,Violent Crime
FL,Florida,V,51532,227.90953284737517,22610726.0,22139460.0,2729519.0,12.328751469096355,Violent Crime
AK,Alaska,V,5385,734.2454247715455,733406.0,717303.0,74353.0,10.365633491007287,Violent Crime
IL,Illinois,V,36618,291.78412309659626,12549689.0,12268020.0,1426517.0,11.627931809697083,Violent Crime
ID,Idaho,V,4729,240.69514018748671,1964726.0,1915282.0,193635.0,10.109999467441348,Violent Crime
IN,Indiana,V,22311,325.12901476625785,6862199.0,6672209.0,821401.0,12.310780432687285,Violent Crime
HI,Hawaii,V,3499,243.80930614338135,1435138.0,1398532.0,141925.0,10.148141050758937,Violent Crime
IA,Iowa,V,8531,266.01151729152815,3207004.0,3108670.0,351224.0,11.298207915282097,Violent Crime
KS,Kansas,V,12176,414.0726198220943,2940547.0,2854559.0,319652.0,11.197946863245777,Violent Crime
LA,Louisiana,V,24824,542.7495037440839,4573749.0,4448119.0,840146.0,18.88766914734071,Violent Crime
KY,Kentucky,V,10465,231.21175284800296,4526154.0,4402485.0,720642.0,16.368982517827998,Violent Crime
MA,Massachusetts,V,22740,324.792230809871,7001399.0,6780372.0,706730.0,10.423174421698397,Violent Crime
MD,Maryland,V,27464,444.3831021157224,6180253.0,6048665.0,574160.0,9.492342525168777,Violent Crime
ME,Maine,V,1454,104.17547333924664,1395722.0,1355422.0,140460.0,10.362824271702834,Violent Crime
MI,Michigan,V,45724,455.5426027080495,10037261.0,9827315.0,1326740.0,13.500533970876075,Violent Crime
MN,Minnesota,V,15132,263.719486956499,5737915.0,5617947.0,520602.0,9.266765955606203,Violent Crime
MO,Missouri,V,28742,463.86824347224314,6196156.0,6025993.0,720210.0,11.951723143388982,Violent Crime
MS,Mississippi,V,3786,128.78909000608908,2939690.0,2841691.0,512184.0,18.023916041540055,Violent Crime
MT,Montana,V,5032,444.204333993637,1132812.0,1107806.0,129804.0,11.717214024838283,Violent Crime
NC,North Carolina,V,41837,386.1107909184734,10835491.0,10549944.0,1349302.0,12.789660305305887,Violent Crime
NE,Nebraska,V,3361,169.88655864220152,1978379.0,1931461.0,202078.0,10.462442679401757,Violent Crime
ND,North Dakota,V,2207,281.53167518362704,783926.0,755048.0,73841.0,9.779643148515062,Violent Crime
NH,New Hampshire,V,1617,115.33079325047396,1402054.0,1362544.0,97935.0,7.187657793069436,Violent Crime
NJ,New Jersey,V,20142,216.79415243463967,9290841.0,9131628.0,886772.0,9.710995673498745,Violent Crime
NM,New Mexico,V,14918,705.5526206138846,2114371.0,2075116.0,368669.0,17.76618752879357,Violent Crime
NV,Nevada,V,13904,435.2922318619888,3194176.0,3154850.0,377506.0,11.965893782588713,Violent Crime
NY,New York,V,77252,394.72253538053025,19571216.0,19068409.0,2702955.0,14.175042081381829,Violent Crime
OH,Ohio,V,34889,296.0223350968761,11785935.0,11479820.0,1527904.0,13.309476977862023,Violent Crime
OR,Oregon,V,14146,334.15553326697153,4233358.0,4159215.0,506544.0,12.178836631431652,Violent Crime
OK,Oklahoma,V,17043,420.4178573120096,4053824.0,3932800.0,626185.0,15.922116558177379,Violent Crime
PA,Pennsylvania,V,34318,264.765000038961,12961683.0,12535767.0,1500959.0,11.973411758530611,Violent Crime
RI,Rhode Island,V,1848,168.61898496480717,1095962.0,1055352.0,114412.0,10.84112220377656,Violent Crime
SC,South Carolina,V,25619,476.7607291634681,5373555.0,5231370.0,726799.0,13.893091102330747,Violent Crime
SD,South Dakota,V,3059,332.7466665506386,919318.0,890853.0,104684.0,11.750984730365168,Violent Crime
TN,Tennessee,V,45488,638.2946777859336,7126489.0,6969478.0,978460.0,14.039214988554379,Violent Crime
TX,Texas,V,125443,411.24401585257937,30503301.0,29889559.0,4086851.0,13.673172628609207,Violent Crime
UT,Utah,V,7961,232.9321123293972,3417734.0,3363147.0,304249.0,9.046556692288503,Violent Crime
VA,Virginia,V,21129,242.42464573692203,8715698.0,8472782.0,864394.0,10.20200921019802,Violent Crime
VT,Vermont,V,1393,215.1470969814538,647464.0,624370.0,60413.0,9.675833239905824,Violent Crime
WA,Washington,V,28165,360.4944655491957,7812880.0,7678825.0,794426.0,10.345671375503414,Violent Crime
WV,West Virginia,V,4518,255.2439986870583,1770071.0,1716152.0,285780.0,16.65237111864217,Violent Crime
WI,Wisconsin,V,17578,297.3800341907526,5910955.0,5781514.0,616874.0,10.669765739562335,Violent Crime
WY,Wyoming,V,1053,180.2906223193969,584057.0,571028.0,64309.0,11.261969640718144,Violent Crime
